timestamp,k_value,average_path_length,num_connected_pairs,total_pairs,connectivity_percentage,min_path_length,max_path_length,num_ground_stations,num_satellites,average_hops
25000000000,125,11149047.41944819,4950,4950,100.0,1071695.3125,24467956.03806451,100,1459,8.59131313131313
25000000000,150,11380634.136886217,4950,4950,100.0,1071695.3125,24467956.03806451,100,1434,8.852121212121212
25000000000,175,11621170.32387863,4950,4950,100.0,1071695.3125,25959100.249050755,100,1409,9.074949494949495
25000000000,200,11776440.171730177,4950,4950,100.0,1071695.3125,26146945.124050755,100,1384,9.232121212121212
25000000000,225,11975559.80479035,4851,4950,98.0,1071695.3125,27176144.12383392,100,1359,9.420531849103277
25000000000,250,13077057.38955648,4753,4950,96.02020202020202,1071695.3125,36039178.090139225,100,1334,10.212918156953503
40000000000,0,10571366.210701505,4950,4950,100.0,1041792.90625,22685520.62229883,100,1584,7.88
40000000000,25,10664497.005309282,4950,4950,100.0,1041792.90625,22685520.62229883,100,1559,8.055555555555555
40000000000,50,10791180.035343625,4950,4950,100.0,1041792.90625,22685520.62229883,100,1534,8.19878787878788
40000000000,75,10955030.383211121,4950,4950,100.0,1041792.90625,23073709.42098114,100,1509,8.388686868686868
40000000000,100,11138762.71971406,4950,4950,100.0,1041792.90625,23344339.418594886,100,1484,8.574949494949495
40000000000,125,11260522.445251398,4950,4950,100.0,1041792.90625,23501528.276142657,100,1459,8.774343434343434
40000000000,150,11433500.341714485,4950,4950,100.0,1041792.90625,25963820.49689825,100,1434,8.925656565656565
40000000000,175,11685748.20267,4851,4950,98.0,1041792.90625,26053138.368299436,100,1409,9.125541125541126
40000000000,200,12084558.372049263,4851,4950,98.0,1041792.90625,26876498.68532268,100,1384,9.267367553081838
40000000000,225,12370378.304960182,4851,4950,98.0,1041792.90625,27025108.836020745,100,1359,9.613687899402185
40000000000,250,12789732.370415352,4851,4950,98.0,1041792.90625,27487350.907118645,100,1334,9.921047206761493
45000000000,0,10600680.93771874,4950,4950,100.0,1040168.1875,22675201.89433287,100,1584,7.9228282828282826
45000000000,25,10684496.35520124,4950,4950,100.0,1040168.1875,22675201.89433287,100,1559,8.073939393939394
45000000000,50,10813901.900031572,4950,4950,100.0,1040168.1875,22907378.838729784,100,1534,8.236969696969696
45000000000,75,10971119.656290429,4950,4950,100.0,1040168.1875,23054694.63619586,100,1509,8.374747474747474
45000000000,100,11170706.549912693,4950,4950,100.0,1040168.1875,25106245.66669485,100,1484,8.571313131313131
45000000000,125,11349219.267585076,4950,4950,100.0,1040168.1875,25141831.126213506,100,1459,8.761818181818182
45000000000,150,11556649.931455728,4950,4950,100.0,1040168.1875,26323051.687513474,100,1434,8.938585858585858
45000000000,175,11831317.31473953,4851,4950,98.0,1040168.1875,26921453.25195661,100,1409,9.027623170480313
45000000000,200,11985422.246742122,4851,4950,98.0,1040168.1875,26921453.25195661,100,1384,9.062049062049063
45000000000,225,12208600.344248664,4851,4950,98.0,1040168.1875,27158319.748711467,100,1359,9.280560709132137
45000000000,250,12522885.712463737,4753,4950,96.02020202020202,1040168.1875,27158319.748711467,100,1334,9.61161371765201
75000000000,0,10597080.122477623,4950,4950,100.0,1019777.40625,22509664.688763775,100,1584,7.900808080808081
75000000000,25,10695328.194181507,4950,4950,100.0,1019777.40625,22509664.688763775,100,1559,8.034343434343434
75000000000,50,10792873.304046798,4950,4950,100.0,1019777.40625,22509664.688763775,100,1534,8.175151515151516
75000000000,75,10945394.987097412,4950,4950,100.0,1019777.40625,23743419.511827417,100,1509,8.343636363636364
75000000000,100,11111149.166191733,4950,4950,100.0,1019777.40625,24002175.44040582,100,1484,8.527070707070708
75000000000,125,11327920.66993683,4950,4950,100.0,1019777.40625,26507125.218986634,100,1459,8.72949494949495
75000000000,150,11545600.997798434,4950,4950,100.0,1019777.40625,26507125.218986634,100,1434,8.973939393939395
75000000000,175,11745489.490855405,4950,4950,100.0,1019777.40625,26955351.66621561,100,1409,9.168888888888889
75000000000,200,12272275.754712345,4950,4950,100.0,1019777.40625,28023271.973675136,100,1384,9.492929292929293
75000000000,225,12894061.517235685,4950,4950,100.0,1019777.40625,29204685.198509596,100,1359,10.003636363636364
75000000000,250,13870745.326638045,4851,4950,98.0,1019777.40625,30449025.14601486,100,1334,10.520717377860235
80000000000,0,10600141.165103577,4950,4950,100.0,1022009.65625,22520436.864526164,100,1584,7.882020202020202
80000000000,25,10719713.453888202,4950,4950,100.0,1022009.65625,22520436.864526164,100,1559,8.033939393939393
80000000000,50,10812824.919159994,4950,4950,100.0,1022009.65625,22897388.1304791,100,1534,8.165454545454546
80000000000,75,10970544.593617696,4950,4950,100.0,1022009.65625,23142778.417416587,100,1509,8.296161616161616
80000000000,100,11055027.846486337,4950,4950,100.0,1022009.65625,23479788.456832226,100,1484,8.414747474747475
80000000000,125,11290894.384324616,4950,4950,100.0,1022009.65625,24246232.800935462,100,1459,8.614949494949496
80000000000,150,11471435.50998508,4950,4950,100.0,1022009.65625,24324971.477951612,100,1434,8.83030303030303
